Field Id,phase,id,Sample Id,N,S,P,K,MG,CA,NA,B,Zn,Mn,Fe,Cu,Al with ppm uom,biomass
stem,R6,heat,17N,2,0.15,0.16,0.47,0.53,1.03,0.06,21,14,21,118,7,72,72.87
stem,R6,vpd ,17S,1.66,0.07,0.24,0.73,0.7,1.68,0.05,26,19,22,70,7,40,60.59
stem,R6,control,17C,1.16,0.08,0.17,0.9,0.41,1.15,0.01,20,8,14,9,6,17,71.4
stem,R6,heat,20N,1.78,0.07,0.11,0.54,0.64,1.75,0.06,27,18,26,29,7,18,50.12
stem,R6,vpd ,20S,1.16,0.03,0.08,0.89,0.56,1.64,0.04,28,14,22,27,5,19,49.28
stem,R6,control,20C,1.4,0.03,0.08,0.36,0.46,1.32,0.02,23,12,19,18,5,15,58.08
stem,R6,heat,25N,2.03,0.1,0.13,0.85,0.55,1.28,0.11,27,51,29,56,6,29,61.86
stem,R6,vpd ,25S,1.58,0.05,0.13,0.93,0.5,1.18,0.04,23,16,20,15,5,10,68.7
stem,R6,control,25C,1.47,0.07,0.13,0.9,0.52,1.44,0.02,27,10,19,36,6,15,66.01
leaf,R6,heat,17N,3.83,0.18,0.24,0.85,0.64,3.07,0.02,52,90,85,138,11,55,36.29
leaf,R6,vpd ,17S,3.14,0.12,0.24,0.84,0.65,3.13,0.02,45,49,53,118,10,39,29.97
leaf,R6,control,17C,3.03,0.12,0.24,1.15,0.43,2.74,0.01,58,37,41,115,8,54,21.6
leaf,R6,heat,20N,3.05,0.12,0.19,0.87,0.62,3.69,0.02,50,82,82,74,9,38,33.22
leaf,R6,vpd ,20S,2.29,0.07,0.12,1.1,0.56,3.02,0.01,48,84,52,94,8,51,17.51
leaf,R6,control,20C,2.83,0.08,0.14,0.7,0.46,2.63,0.01,64,63,49,52,7,18,35.91
leaf,R6,heat,25N,2.5,0.15,0.17,1.07,0.65,3.71,0.03,50,65,117,155,9,45,30.64
leaf,R6,vpd ,25S,2.3,0.13,0.2,1.28,0.55,2.81,0.02,45,31,78,108,9,30,29.06
leaf,R6,control,25C,2.49,0.13,0.21,1.34,0.41,2.53,0.01,50,23,67,196,8,84,39.2
seed,R6,heat,17N,5.44,0.25,0.44,1.62,0.21,0.41,0.02,41,34,22,74,13,2,
seed,R6,vpd ,17S,5.42,0.23,0.52,1.76,0.22,0.34,0.01,38,38,19,59,11,1,
seed,R6,control,17C,5.64,0.27,0.52,1.87,0.23,0.37,0.01,37,42,21,69,12,4,
seed,R6,heat,20N,5.89,0.24,0.46,1.77,0.22,0.36,0.01,38,74,22,52,14,1,
seed,R6,vpd ,20S,5.24,0.19,0.4,1.57,0.22,0.33,0.01,33,39,21,59,10,1,
seed,R6,control,20C,5.35,0.19,0.42,1.74,0.21,0.36,0.01,40,43,23,55,12,4,
seed,R6,heat,25N,5.31,0.25,0.47,1.71,0.21,0.35,0.01,37,39,23,75,11,15,
seed,R6,vpd ,25S,5.53,0.28,0.51,1.77,0.22,0.3,0.01,35,35,22,75,11,1,
seed,R6,control,25C,5.4,0.28,0.54,1.78,0.22,0.32,0.01,40,38,25,50,12,3,
stem,R8,heat,17N,1.76,0.18,0.19,0.67,0.52,1.04,0.15,30,16,27,73,8,27,66.01
stem,R8,vpd ,17S,1.37,0.08,0.18,0.55,0.58,1.5,0.05,30,11,24,187,8,110,138.49
stem,R8,control,17C,1.14,0.09,0.15,0.43,0.53,1.33,0.02,25,10,17,109,7,66,126.54
stem,R8,heat,20N,1.1,0.05,0.07,0.26,0.45,0.92,0.12,24,10,17,55,6,35,153.41
stem,R8,vpd ,20S,0.96,0.04,0.09,0.46,0.32,0.84,0.03,24,8,12,81,5,53,95.76
stem,R8,control,20C,0.79,0.04,0.07,0.25,0.46,1.27,0.02,27,11,19,148,5,95,89.49
stem,R8,heat,25N,1.23,0.15,0.07,0.44,0.48,1.06,0.22,27,14,23,82,5,46,95.48
stem,R8,vpd ,25S,0.92,0.09,0.12,0.53,0.45,1.36,0.03,27,6,25,179,7,92,125.48
stem,R8,control,25C,0.76,0.11,0.1,0.6,0.51,0.95,0.02,25,4,23,269,6,136,155.08
seed,R8,heat,17N,5.68,0.27,0.49,1.65,0.23,0.38,0.02,40,40,22,125,12,26,190.75
seed,R8,vpd ,17S,5.77,0.27,0.52,1.64,0.22,0.31,0.01,35,36,21,90,12,17,268.57
seed,R8,control,17C,5.42,0.24,0.5,1.72,0.22,0.36,0.01,35,37,22,188,13,70,289.06
seed,R8,heat,20N,5.62,0.24,0.42,1.69,0.22,0.35,0.01,39,44,20,81,14,20,211.8
seed,R8,vpd ,20S,5.35,0.18,0.42,1.56,0.21,0.32,0.01,35,41,20,44,10,9,167.38
seed,R8,control,20C,5.69,0.18,0.42,1.62,0.21,0.37,0.01,37,51,23,57,11,7,269.75
seed,R8,heat,25N,5.94,0.26,0.5,1.66,0.22,0.31,0.01,37,35,25,56,12,7,280.38
seed,R8,vpd ,25S,5.77,0.28,0.51,1.66,0.21,0.24,0.01,33,31,23,57,11,1,285.96
seed,R8,control,25C,5.57,0.28,0.5,1.76,0.22,0.36,0.01,37,34,24,126,13,32,292.17
